DAY,MONTH,YEAR,HOUR,ENERGIA1,ENERGIA2,TEMPERATURA,UMIDADE,CHUVA,IRRADIACAO
01,10,15,06,0.0,0.1,16.99,77.7,0.0,12.6
01,10,15,07,0.4,0.4,17.09,78.05,0.0,99.81
01,10,15,08,1.0,0.9,18.7,78.97,0.0,248.44
01,10,15,09,1.4,1.4,20.54,78.89,0.0,660.85
01,10,15,10,2.1,2.0,22.53,79.57,0.0,862.16
01,10,15,11,0.0,0.0,24.69,79.86,0.0,991.73
01,10,15,12,0.0,0.0,26.11,80.1,0.0,1030.36
01,10,15,13,0.0,0.0,27.22,80.34,0.0,980.55
01,10,15,14,14.8,14.8,28.07,80.55,0.0,830.71
01,10,15,15,2.2,2.1,28.69,80.68,0.0,627.89
01,10,15,16,1.4,1.4,28.82,80.64,0.0,433.09
01,10,15,17,0.3,0.3,28.17,80.5,0.0,181.82
10,10,15,05,2.8,2.6,17.02,77.76,0.0,0.0
10,10,15,06,0.0,0.0,17.22,77.77,0.0,16.26
10,10,15,07,0.0,0.0,17.36,77.83,0.0,30.59
10,10,15,08,0.0,0.0,17.95,78.03,0.0,138.82
10,10,15,09,0.0,0.0,18.63,78.3,0.0,221.54
10,10,15,10,0.0,0.0,20.12,78.67,0.0,568.1
10,10,15,11,0.0,0.0,22.06,79.02,0.0,647.15
10,10,15,12,0.0,0.0,22.28,79.05,0.0,294.46
10,10,15,13,0.0,0.0,22.15,79.05,0.0,169.52
10,10,15,14,0.0,0.0,23.08,79.32,0.0,270.05
10,10,15,15,0.0,0.0,22.24,79.16,0.0,233.64
10,10,15,16,0.0,0.0,22.77,79.4,0.0,251.47
10,10,15,17,0.0,0.0,22.53,79.22,0.0,63.11
11,10,15,05,0.0,0.0,17.62,77.99,0.0,0.0
11,10,15,06,0.0,0.0,17.61,78.03,0.0,25.72
11,10,15,07,0.0,0.0,18.18,78.11,0.0,139.36
11,10,15,08,0.0,0.0,18.86,78.27,0.0,267.87
11,10,15,09,0.0,0.0,20.17,78.69,0.0,532.5
11,10,15,10,16.3,15.9,21.4,78.89,0.0,715.58
11,10,15,11,2.7,2.7,22.21,79.25,0.0,565.62
11,10,15,12,1.5,1.4,22.45,78.99,0.0,333.05
11,10,15,13,0.6,0.6,21.86,78.9,0.0,126.64
11,10,15,14,0.0,0.0,21.66,78.91,0.0,191.64
11,10,15,15,0.0,0.0,21.7,78.9,0.0,102.86
11,10,15,16,0.0,0.0,19.69,78.4,0.0,23.83
11,10,15,17,0.0,0.0,17.96,78.11,0.1,9.91
12,10,15,05,0.0,0.0,15.72,77.72,0.0,0.0
12,10,15,06,0.0,0.0,15.82,77.75,0.0,19.74
12,10,15,07,0.6,0.5,16.45,77.82,0.0,193.81
12,10,15,08,0.0,0.0,17.15,77.89,0.0,277.2
12,10,15,09,0.0,0.0,17.18,77.92,0.0,294.33
12,10,15,10,3.1,3.1,18.09,78.1,0.0,392.01
12,10,15,11,0.0,0.0,18.66,78.22,0.0,453.98
12,10,15,12,3.0,2.9,19.41,78.42,0.0,664.65
12,10,15,13,3.7,3.7,20.1,78.55,0.0,772.72
12,10,15,14,2.7,2.6,21.18,78.8,0.0,764.39
12,10,15,15,2.3,2.2,20.71,78.68,0.0,377.76
12,10,15,16,0.0,0.0,20.02,78.56,0.0,257.11
12,10,15,17,0.0,0.0,19.35,78.42,0.0,113.44
13,10,15,05,0.0,0.0,12.2,76.89,0.0,1.08
13,10,15,06,0.1,0.1,12.08,76.85,0.0,44.5
13,10,15,07,0.2,0.2,12.91,77.06,0.0,115.77
13,10,15,08,1.1,1.1,14.57,77.55,0.0,196.64
13,10,15,09,1.2,1.1,16.56,77.97,0.0,477.31
13,10,15,10,0.0,0.0,18.32,78.35,0.0,932.22
13,10,15,11,0.0,0.0,20.12,78.71,0.0,1047.39
13,10,15,12,0.0,0.0,21.78,79.09,0.0,1097.38
13,10,15,13,0.0,0.0,22.71,79.24,0.0,949.74
13,10,15,14,0.0,0.0,23.55,79.41,0.0,761.36
13,10,15,15,0.0,0.0,23.16,79.43,0.2,161.12
13,10,15,16,0.0,0.0,19.88,78.67,1.1,11.3
13,10,15,17,17.7,17.6,18.46,78.46,3.4,4.98
14,10,15,05,0.0,0.0,17.82,78.27,0.0,0.37
14,10,15,06,0.0,0.0,17.93,78.42,0.0,38.59
14,10,15,07,0.0,0.0,19.08,79.01,0.0,223.31
14,10,15,08,0.0,0.0,20.68,79.34,0.0,430.7
14,10,15,09,0.0,0.0,21.99,79.33,0.0,649.84
14,10,15,10,0.0,0.0,23.45,79.81,0.0,869.98
14,10,15,11,0.0,0.0,24.94,80.01,0.0,979.43
14,10,15,12,0.0,0.0,26.52,80.44,0.0,971.91
14,10,15,13,0.0,0.0,27.91,80.73,0.0,783.78
14,10,15,14,0.0,0.0,29.21,81.05,0.0,767.55
14,10,15,15,0.0,0.0,30.27,81.24,0.0,603.65
14,10,15,16,0.0,0.0,30.59,81.35,0.0,381.6
14,10,15,17,0.0,0.0,31.48,81.41,0.0,165.19
15,10,15,05,0.0,0.0,26.7,80.11,0.0,1.6
15,10,15,06,0.0,0.0,26.82,79.98,0.0,49.4
15,10,15,07,0.0,0.0,27.55,79.99,0.0,234.47
15,10,15,08,0.0,0.0,29.0,80.34,0.0,455.78
15,10,15,09,27.8,27.5,30.11,80.62,0.0,662.21
15,10,15,10,0.0,0.0,31.89,80.94,0.0,807.3
15,10,15,11,0.0,0.0,32.74,81.07,0.0,708.34
15,10,15,12,6.8,6.7,32.71,81.03,0.0,488.39
15,10,15,13,0.0,0.0,30.29,80.49,0.0,256.86
15,10,15,14,0.0,0.0,26.75,79.73,1.3,120.34
15,10,15,15,0.0,0.0,25.38,79.55,0.0,125.86
15,10,15,16,0.0,0.0,26.51,79.94,0.0,221.2
15,10,15,17,0.0,0.0,26.32,79.85,0.0,132.81
16,10,15,06,0.0,0.0,19.63,78.3,0.7,3.32
16,10,15,07,0.0,0.0,19.44,78.25,0.9,38.41
16,10,15,08,0.0,0.0,19.27,78.18,2.1,97.34
16,10,15,09,0.0,0.0,20.08,78.39,0.0,283.22
16,10,15,10,0.0,0.0,21.26,78.76,0.0,385.45
16,10,15,11,0.0,0.0,21.54,78.85,0.0,282.93
16,10,15,12,0.0,0.0,22.81,79.15,0.0,546.94
16,10,15,13,0.0,0.0,23.6,79.39,0.0,576.16
16,10,15,14,0.0,0.0,24.47,79.63,0.0,656.95
16,10,15,15,0.0,0.0,24.93,79.78,0.0,403.82
16,10,15,16,0.0,0.0,24.9,79.8,0.0,206.51
16,10,15,17,0.0,0.0,24.42,79.52,0.0,55.98
17,10,15,06,13.1,12.2,18.91,78.13,0.0,5.03
17,10,15,07,0.0,0.0,18.45,78.03,0.0,28.74
17,10,15,08,0.0,0.0,17.55,77.78,0.0,35.19
17,10,15,09,0.0,0.0,16.23,77.47,0.0,70.21
17,10,15,10,0.0,0.0,16.02,77.39,0.0,111.06
17,10,15,11,1.9,1.8,16.77,77.59,0.0,244.72
17,10,15,12,0.0,0.0,17.27,77.64,0.0,230.95
17,10,15,13,1.4,1.3,17.96,77.77,0.0,267.8
17,10,15,14,0.0,0.0,18.89,77.93,0.0,429.1
17,10,15,15,2.6,2.4,19.33,78.04,0.0,268.51
17,10,15,16,1.0,1.0,19.12,77.97,0.0,147.3
17,10,15,17,0.0,0.0,18.42,77.82,0.0,73.01
18,10,15,06,0.8,0.7,13.87,76.79,0.0,1.5
18,10,15,07,0.0,0.0,14.14,76.85,0.0,24.03
18,10,15,08,0.5,0.5,14.9,77.05,0.0,107.81
18,10,15,09,0.4,0.3,16.06,77.34,0.0,243.85
18,10,15,10,0.0,0.0,17.57,77.67,0.0,384.16
18,10,15,11,3.1,2.9,19.1,78.02,0.0,456.5
18,10,15,12,1.3,1.2,20.53,78.37,0.0,721.29
18,10,15,13,0.0,0.0,22.12,78.67,0.0,1005.47
18,10,15,14,0.0,0.0,23.46,78.97,0.0,908.18
18,10,15,15,0.0,0.0,24.38,79.17,0.0,699.86
18,10,15,16,0.0,0.0,24.89,79.31,0.0,539.73
18,10,15,17,0.0,0.0,24.93,79.31,0.0,378.22
18,10,15,18,0.0,0.0,23.9,79.07,0.0,110.62
19,10,15,06,0.0,0.0,16.26,77.31,0.0,1.45
19,10,15,07,14.8,14.2,16.34,77.38,0.0,35.7
19,10,15,08,0.3,0.3,17.43,77.75,0.0,187.84
19,10,15,09,1.3,1.3,19.29,78.1,0.0,431.96
19,10,15,10,2.3,2.1,20.68,78.29,0.0,595.27
19,10,15,11,1.2,1.1,21.9,78.69,0.0,615.42
19,10,15,12,0.0,0.0,23.01,78.87,0.0,579.25
19,10,15,13,5.7,5.5,24.65,79.23,0.0,775.03
19,10,15,14,0.0,0.0,26.15,79.53,0.0,853.54
19,10,15,15,0.0,0.0,26.94,79.71,0.0,726.24
19,10,15,16,0.0,0.0,27.42,79.94,0.0,432.07
19,10,15,17,0.0,0.0,27.65,80.04,0.0,225.38
19,10,15,18,9.1,8.7,27.2,79.88,0.0,132.49
20,10,15,06,0.0,0.0,19.45,78.07,0.0,1.36
20,10,15,07,0.0,0.0,19.49,78.06,0.0,52.96
20,10,15,08,0.2,0.3,20.85,78.38,0.0,191.61
20,10,15,09,0.0,0.0,23.31,79.02,0.0,419.11
20,10,15,10,4.3,4.1,25.96,79.66,0.0,568.61
20,10,15,11,1.0,0.9,27.86,80.28,0.0,501.23
20,10,15,12,0.0,0.0,30.57,80.76,0.0,888.41
20,10,15,13,0.0,0.0,33.09,80.93,0.0,841.04
20,10,15,14,0.0,0.0,34.3,81.13,0.0,750.04
20,10,15,15,9.9,9.6,34.46,81.14,0.0,586.95
20,10,15,16,3.1,3.0,34.63,81.12,0.0,487.59
20,10,15,17,0.0,0.0,33.76,80.9,0.0,315.41
20,10,15,18,0.0,0.0,32.93,80.68,0.0,142.16
21,10,15,06,0.0,0.0,21.06,77.99,0.0,0.0
21,10,15,07,0.0,0.0,20.96,78.03,0.0,9.45
21,10,15,08,0.0,0.0,21.35,78.18,0.1,97.82
21,10,15,09,0.0,0.0,22.43,78.5,0.0,273.3
21,10,15,10,0.0,0.0,22.44,78.39,1.2,79.16
21,10,15,11,0.0,0.0,23.59,78.77,0.0,410.47
21,10,15,12,0.0,0.0,25.2,79.22,0.0,836.69
21,10,15,13,0.0,0.0,27.46,79.55,0.0,876.01
21,10,15,14,0.0,0.0,28.47,79.78,0.0,648.44
21,10,15,15,0.0,0.0,29.72,80.09,0.0,591.47
21,10,15,16,0.0,0.0,30.54,80.26,0.0,476.2
21,10,15,17,0.0,0.0,31.5,80.46,0.0,344.0
21,10,15,18,0.0,0.0,30.93,80.13,0.0,135.86
22,10,15,07,0.0,0.0,18.54,77.33,3.3,1.09
22,10,15,08,0.0,0.0,18.59,77.37,5.7,0.77
22,10,15,09,0.0,0.0,18.76,77.41,2.4,3.78
22,10,15,10,0.0,0.0,18.8,77.43,6.7,11.43
22,10,15,11,0.0,0.0,18.87,77.45,1.6,17.6
22,10,15,12,0.0,0.0,19.43,77.56,0.0,221.46
22,10,15,13,0.0,0.0,20.05,77.75,0.3,124.79
22,10,15,14,0.0,0.0,20.13,77.79,0.3,140.27
22,10,15,15,0.0,0.0,20.07,77.81,0.4,159.19
22,10,15,16,0.0,0.0,20.77,77.97,0.0,169.68
22,10,15,17,0.0,0.0,20.34,77.87,6.2,26.26
22,10,15,18,0.0,0.0,19.53,77.66,4.1,3.7
23,10,15,06,0.0,0.0,18.66,77.58,0.0,0.79
23,10,15,07,0.0,0.0,18.83,77.63,0.0,17.29
23,10,15,08,0.0,0.0,18.99,77.71,0.0,46.03
